,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
174,Don Bielke,1956,1956,C,6-7,240,"May 10, 1932",Valparaiso
175,Bob Bigelow,1976,1979,F-G,6-7,215,"December 26, 1953",Penn
176,Lionel Billingy,1975,1975,F-C,6-9,215,"August 31, 1952",Duquesne
177,Chauncey Billups,1998,2014,G,6-3,202,"September 25, 1976",Colorado
178,Dave Bing*,1967,1978,G,6-3,180,"November 24, 1943",Syracuse
179,Joe Binion,1987,1987,F,6-8,235,"March 26, 1961",North Carolina A&T
180,Khem Birch,2018,2022,C-F,6-9,233,"September 28, 1992","Pitt, UNLV"
181,Jabari Bird,2018,2018,G,6-6,198,"July 3, 1994",California
182,Jerry Bird,1959,1959,F,6-6,210,"February 2, 1935",Kentucky
183,Larry Bird*,1980,1992,F,6-9,220,"December 7, 1956",Indiana State University
184,Otis Birdsong,1978,1989,G,6-3,190,"December 9, 1955",Houston
185,Gale Bishop,1949,1949,F,6-3,195,"June 4, 1922",Washington State
186,Goga Bitadze,2020,2022,C,6-11,250,"July 20, 1999",
187,Bismack Biyombo,2012,2022,C-F,6-8,255,"August 28, 1992",
188,Nemanja Bjelica,2016,2022,F,6-10,234,"May 9, 1988",
189,Uwe Blab,1986,1990,C,7-1,252,"March 26, 1962",Indiana
190,Charlie Black,1949,1952,F-C,6-5,200,"June 15, 1921",Kansas
191,Norman Black,1981,1981,G,6-5,185,"November 12, 1957",Saint Joseph's
192,Tarik Black,2015,2018,C-F,6-9,250,"November 22, 1991","Memphis, Kansas"
193,Tom Black,1971,1971,C,6-10,220,"July 9, 1941",South Dakota State
194,Rolando Blackman,1982,1994,G,6-6,190,"February 26, 1959",Kansas State
195,Alex Blackwell,1993,1993,F,6-6,250,"June 27, 1970",Monmouth University
196,Cory Blackwell,1985,1985,F,6-6,210,"March 27, 1963",Wisconsin
197,James Blackwell,1995,1995,G,6-0,190,"February 25, 1968",Dartmouth College
198,Nate Blackwell,1988,1988,G,6-4,170,"February 15, 1965",Temple
199,DeJuan Blair,2010,2016,F-C,6-7,270,"April 22, 1989",Pitt
200,Steve Blake,2004,2016,G,6-3,172,"February 26, 1980",Maryland
201,Antonio Blakeney,2018,2019,G,6-4,192,"October 4, 1996",LSU
202,Will Blalock,2007,2007,G,6-0,205,"September 8, 1983",Iowa State
203,George Blaney,1962,1962,G,6-1,175,"November 12, 1939",Holy Cross
204,Lance Blanks,1991,1993,G,6-4,190,"September 9, 1966","Virginia, Texas"
205,Ricky Blanton,1993,1993,F,6-7,215,"April 21, 1966",LSU
206,Andray Blatche,2006,2014,F,6-11,235,"August 22, 1986",
207,Mookie Blaylock,1990,2002,G,6-0,180,"March 20, 1967","Midland College, Oklahoma"
208,Eric Bledsoe,2011,2022,G,6-1,214,"December 9, 1989",Kentucky
209,Keljin Blevins,2021,2022,F,6-4,200,"November 24, 1995","Southern Miss, Montana State"
210,Leon Blevins,1951,1951,G,6-2,160,"June 25, 1926",Arizona
211,John Block,1967,1976,F-C,6-9,207,"April 16, 1944",USC
212,Mike Bloom,1948,1949,F-C,6-6,190,"January 14, 1915",Temple
213,Jaron Blossomgame,2019,2019,F,6-8,220,"September 16, 1993",Clemson
214,Corie Blount,1994,2004,F,6-9,240,"January 4, 1969",Cincinnati
215,Mark Blount,2001,2009,C,7-0,230,"November 30, 1975",Pitt
216,Vander Blue,2014,2018,G,6-4,200,"July 17, 1992",Marquette
217,Ray Blume,1982,1982,G,6-4,185,"September 23, 1958",Oregon State
218,Nelson Bobb,1950,1953,G,6-0,170,"February 25, 1924",Temple
219,Tony Bobbitt,2005,2005,G,6-4,190,"October 22, 1979",Cincinnati
220,Bucky Bockhorn,1959,1965,G,6-4,200,"July 8, 1933",Dayton
221,Tom Boerwinkle,1969,1978,C,7-0,265,"August 23, 1945",Tennessee
222,Keith Bogans,2004,2014,G-F,6-5,215,"May 12, 1980",Kentucky
223,Bogdan Bogdanović,2018,2022,G,6-6,220,"August 18, 1992",
224,Bojan Bogdanović,2015,2022,G-F,6-7,226,"April 18, 1989",
225,Muggsy Bogues,1988,2001,G,5-3,136,"January 9, 1965",Wake Forest
226,Andrew Bogut,2006,2019,C,7-0,260,"November 28, 1984",Utah
227,Etdrick Bohannon,1998,2001,F,6-9,220,"May 29, 1973","Arizona, Tennessee, Auburn University at Montgomery"
228,Bol Bol,2020,2022,F-C,7-2,220,"November 16, 1999",Oregon
229,Manute Bol,1986,1995,C,7-7,200,"October 16, 1962",University of Bridgeport
230,Jonah Bolden,2019,2020,F,6-8,220,"January 2, 1996",UCLA
231,Marques Bolden,2020,2021,C,6-10,249,"April 17, 1998",Duke
232,Bill Bolger,1954,1954,F,6-5,205,"August 21, 1931",Georgetown
233,Leandro Bolmaro,2022,2022,F,6-6,200,"September 11, 2000",
234,Joel Bolomboy,2017,2018,F,6-9,235,"January 28, 1994",Weber State
235,Doug Bolstorff,1958,1958,G,6-4,195,"October 29, 1931",Minnesota
236,George Bon Salle,1962,1962,F,6-8,220,"July 1, 1935",Illinois
237,Phil Bond,1978,1978,G,6-2,175,"July 27, 1954",Louisville
238,Walter Bond,1993,1995,G,6-5,200,"February 1, 1969",Minnesota
239,Jordan Bone,2020,2021,G,6-2,180,"November 5, 1997",Tennessee
240,Dexter Boney,1997,1997,G,6-4,185,"April 27, 1970",UNLV
241,Isaac Bonga,2019,2022,G,6-8,180,"November 8, 1999",
242,Ron Bonham,1965,1968,F,6-5,192,"May 31, 1942",Cincinnati
243,Anthony Bonner,1991,1996,F,6-8,215,"June 8, 1968",Saint Louis
244,Matt Bonner,2005,2016,F,6-10,235,"April 5, 1980",Florida
245,Butch Booker,1970,1970,C,6-10,230,"July 20, 1945",Cheyney (PA)
246,Devin Booker,2016,2022,G,6-5,206,"October 30, 1996",Kentucky
247,Melvin Booker,1996,1997,G,6-1,185,"August 20, 1972",Missouri
248,Trevor Booker,2011,2018,F,6-8,228,"November 25, 1987",Clemson
249,Josh Boone,2007,2010,F-C,6-10,237,"November 21, 1984",UConn
250,Ron Boone,1969,1981,G-F,6-2,200,"September 6, 1946",Idaho State University
251,Calvin Booth,2000,2009,C,6-11,230,"May 7, 1976",Penn State
252,Keith Booth,1998,1999,F,6-6,226,"October 9, 1974",Maryland
253,Bob Boozer,1961,1971,F,6-8,215,"April 26, 1937",Kansas State
254,Carlos Boozer,2003,2015,F-C,6-9,258,"November 20, 1981",Duke
255,Curtis Borchardt,2004,2005,C,7-0,240,"September 13, 1980",Stanford
256,Jake Bornheimer,1949,1950,F-C,6-5,200,"June 29, 1927",Muhlenberg College
257,Lazaro Borrell,2000,2000,F,6-8,220,"September 20, 1972",
258,Ike Borsavage,1951,1951,C-F,6-8,220,"July 25, 1924",Temple
259,Vince Boryla,1950,1954,F,6-5,210,"March 11, 1927",Denver
260,Chris Bosh*,2004,2016,F-C,6-11,235,"March 24, 1984",Georgia Tech
261,Jim Bostic,1978,1978,F,6-7,225,"January 28, 1953",New Mexico State
262,Brandon Boston Jr.,2022,2022,G-F,6-7,185,"November 28, 2001",Kentucky
263,Lawrence Boston,1980,1980,F,6-8,225,"May 18, 1956","Vincennes University, Maryland"
264,Tom Boswell,1976,1984,F-C,6-9,220,"October 2, 1953","South Carolina State, South Carolina"
265,Chris Boucher,2018,2022,F,6-9,200,"January 11, 1993",Oregon
266,James Bouknight,2022,2022,G,6-5,190,"September 18, 2000",UConn
267,Ruben Boumtje-Boumtje,2002,2004,C,7-0,257,"May 20, 1978",Georgetown
268,Don Boven,1950,1953,F-G,6-4,210,"March 6, 1925",Western Michigan
269,Cal Bowdler,2000,2002,F,6-10,245,"March 31, 1977",Old Dominion
270,Brian Bowen,2020,2021,F,6-6,190,"October 2, 1998",
271,Bruce Bowen,1997,2009,F,6-7,185,"June 14, 1971",Cal State Fullerton
272,Ryan Bowen,2000,2010,F,6-7,215,"November 20, 1975",Iowa
273,Tommie Bowens,1968,1970,F-C,6-8,220,"July 7, 1940",Grambling State University
274,Anthony Bowie,1989,1998,G-F,6-6,190,"November 9, 1963",Oklahoma
275,Sam Bowie,1985,1995,C-F,7-1,235,"March 17, 1961",Kentucky
276,Orbie Bowling,1968,1968,C,6-10,215,"March 21, 1939",Tennessee
277,Ira Bowman,2000,2002,G,6-5,195,"June 11, 1973","Providence, Penn"
278,Ky Bowman,2020,2020,G,6-1,187,"June 16, 1997",Boston College
279,Nate Bowman,1967,1972,C,6-10,230,"March 19, 1943",Wichita State
280,Donnie Boyce,1996,1997,G,6-5,196,"September 2, 1973",Colorado
281,Dennis Boyd,1979,1979,G,6-1,175,"May 21, 1954",Detroit Mercy
282,Freddie Boyd,1973,1978,G,6-2,180,"June 13, 1950",Oregon State
283,Ken Boyd,1975,1975,F,6-5,195,"March 25, 1952",Boston University
284,Earl Boykins,1999,2012,G,5-5,135,"June 2, 1976",Eastern Michigan
285,Harry Boykoff,1950,1951,C,6-10,225,"July 24, 1922",St. John's
286,Winford Boynes,1979,1981,G-F,6-6,185,"May 17, 1957",San Francisco
287,Cedric Bozeman,2007,2007,G,6-6,207,"March 7, 1983",UCLA
288,Steve Bracey,1973,1975,G,6-1,175,"August 1, 1950",Tulsa
289,Craig Brackins,2011,2012,F,6-10,230,"October 9, 1987",Iowa State
290,Gary Bradds,1965,1971,F,6-8,210,"July 26, 1942",Ohio State
291,Alex Bradley,1982,1982,F,6-6,215,"October 30, 1959",Villanova
292,Alonzo Bradley,1978,1980,F,6-6,190,"October 16, 1953",Texas Southern
293,Avery Bradley,2011,2022,G,6-3,180,"November 26, 1990",Texas
294,Bill Bradley,1968,1968,G,5-11,165,"June 16, 1941",
295,Bill Bradley*,1968,1977,F-G,6-5,205,"July 28, 1943",Princeton
296,Charles Bradley,1982,1984,G,6-5,215,"May 16, 1959",Wyoming
297,Dudley Bradley,1980,1989,G-F,6-6,195,"March 19, 1957",UNC
298,Jim Bradley,1974,1976,F,6-8,215,"March 16, 1952",Northern Illinois
299,Joe Bradley,1950,1950,G,6-3,175,"September 24, 1928",Oklahoma State
300,Michael Bradley,2002,2006,F-C,6-10,245,"April 18, 1979","Kentucky, Villanova"
301,Shawn Bradley,1994,2005,C,7-6,235,"March 22, 1972",BYU
302,Tony Bradley,2018,2022,F-C,6-10,248,"January 8, 1998",UNC
303,Mark Bradtke,1997,1997,C-F,6-10,265,"September 27, 1968",
304,Marques Bragg,1996,1996,F,6-8,230,"March 24, 1970",Providence
305,Torraye Braggs,2004,2005,F,6-8,245,"May 15, 1976",Xavier
306,A.J. Bramlett,2000,2000,C,6-10,227,"January 10, 1977",Arizona
307,Adrian Branch,1987,1990,F-G,6-7,185,"November 17, 1963",Maryland
308,Elton Brand,2000,2016,F-C,6-8,275,"March 11, 1979",Duke
309,Terrell Brandon,1992,2002,G,5-11,180,"May 20, 1970",Oregon
310,Bob Brannum,1950,1955,F-C,6-5,215,"May 28, 1926",Michigan State
311,Brad Branson,1982,1983,C-F,6-10,220,"September 24, 1958",SMU
312,Jesse Branson,1966,1968,F,6-7,195,"January 7, 1942",Elon University
313,Jarrell Brantley,2020,2021,F,6-5,250,"June 7, 1996",College of Charleston
314,Jim Brasco,1953,1953,G,6-1,170,"February 3, 1931",NYU
315,Mike Bratz,1978,1986,G,6-2,185,"October 17, 1955",Stanford
316,Carl Braun*,1948,1962,G-F,6-5,180,"September 25, 1927",Colgate
317,Ignas Brazdeikis,2020,2022,F,6-6,221,"January 8, 1999",Michigan
318,Tim Breaux,1995,1998,F,6-7,215,"September 19, 1970",Wyoming
319,J.R. Bremer,2003,2004,G,6-2,185,"September 19, 1980",St. Bonaventure
320,Pete Brennan,1959,1959,F,6-6,205,"September 23, 1936",UNC
321,Tom Brennan,1955,1955,F,6-3,195,"August 6, 1930",Villanova
322,Randy Breuer,1984,1994,C,7-3,230,"October 11, 1960",Minnesota
323,Corey Brewer,2008,2020,F-G,6-9,186,"March 5, 1986",Florida
324,Jamison Brewer,2002,2005,G,6-4,184,"November 19, 1980",Auburn
325,Jim Brewer,1974,1982,F-C,6-9,210,"December 3, 1951",Minnesota
326,Ron Brewer,1979,1986,G,6-4,180,"July 16, 1955",Arkansas
327,Ronnie Brewer,2007,2014,G-F,6-7,220,"March 20, 1985",Arkansas
328,Primož Brezec,2002,2010,C,7-2,252,"October 2, 1979",
329,Frankie Brian,1950,1956,G,6-1,180,"May 1, 1923",LSU
330,Frank Brickowski,1985,1997,F-C,6-9,240,"August 14, 1959",Penn State
331,Junior Bridgeman,1976,1987,F-G,6-5,210,"September 17, 1953",Louisville
332,Bill Bridges,1963,1975,F-C,6-6,228,"April 4, 1939",Kansas
333,Mikal Bridges,2019,2022,F-G,6-6,209,"August 30, 1996",Villanova
334,Miles Bridges,2019,2022,G-F,6-6,225,"March 21, 1998",Michigan State
335,Al Brightman,1947,1947,F,6-2,195,"September 22, 1923",University of Charleston
336,Amida Brimah,2021,2021,C,6-10,230,"February 11, 1994",UConn
337,Aud Brindley,1947,1947,F,6-4,175,"December 31, 1923",Dartmouth College
338,Isaiah Briscoe,2019,2019,G,6-3,215,"April 13, 1996",Kentucky
339,John Brisker,1970,1975,F-G,6-5,210,"June 15, 1947",Toledo
340,Oshae Brissett,2020,2022,F,6-7,210,"June 20, 1998",Syracuse
341,Allan Bristow,1974,1983,F-G,6-7,210,"August 23, 1951",Virginia Tech
342,Tyrone Britt,1968,1968,G,6-4,190,"April 18, 1944",Johnson C. Smith University
343,Wayman Britt,1978,1978,G,6-2,185,"August 31, 1952",Michigan
344,Mike Brittain,1986,1987,C,7-0,235,"June 21, 1963",South Carolina
345,Dave Britton,1981,1981,G,6-4,180,"August 29, 1958",Texas A&M
346,Jon Brockman,2010,2012,F,6-7,255,"March 20, 1987",Washington
347,Ryan Broekhoff,2019,2020,F,6-6,215,"August 23, 1990",Valparaiso
348,Jim Brogan,1982,1983,G,6-4,185,"February 24, 1958",West Virginia Wesleyan College
349,Malcolm Brogdon,2017,2022,G,6-5,229,"December 11, 1992",Virginia
350,Gary Brokaw,1975,1978,G,6-4,178,"January 11, 1954",Notre Dame
351,Price Brookfield,1949,1950,F-G,6-4,185,"May 11, 1920",West Texas A&M University
352,Clarence Brookins,1971,1971,F,6-4,190,,Temple
353,Aaron Brooks,2008,2018,G,6-0,161,"January 14, 1985",Oregon
354,Armoni Brooks,2021,2022,G,6-3,195,"June 5, 1998",Houston
355,Dillon Brooks,2018,2022,F-G,6-7,225,"January 22, 1996",Oregon
356,Kevin Brooks,1992,1994,F,6-6,200,"October 12, 1969",Louisiana
357,MarShon Brooks,2012,2019,G-F,6-5,200,"January 26, 1989",Providence
358,Michael Brooks,1981,1988,F,6-7,220,"August 17, 1958",La Salle
359,Scott Brooks,1989,1998,G,5-11,165,"July 31, 1965","TCU, University of California, Irvine"
360,Andre Brown,2007,2009,F,6-9,245,"May 12, 1981",DePaul
361,Anthony Brown,2016,2018,F-G,6-7,210,"October 10, 1992",Stanford
362,Bob Brown,1949,1950,F,6-4,205,"November 12, 1923",Miami University
363,Bobby Brown,2009,2018,G,6-2,175,"September 24, 1984",Cal State Fullerton
364,Bruce Brown,2019,2022,G,6-4,202,"August 15, 1996",Miami (FL)
365,Charlie Brown Jr.,2020,2022,G,6-6,199,"February 2, 1997",Saint Joseph's
366,Chaundee Brown Jr.,2022,2022,G-F,6-5,215,"December 4, 1998","Wake Forest, Michigan"
367,Chucky Brown,1990,2002,F,6-7,214,"February 29, 1968",NC State
368,Damone Brown,2002,2005,F,6-9,200,"June 28, 1979",Syracuse
369,Darrel Brown,1949,1949,F,6-2,175,"March 14, 1923",Humboldt State University
370,Dee Brown,1991,2002,G,6-1,160,"November 29, 1968",Jacksonville University
371,Dee Brown,2007,2009,G,6-0,185,"August 17, 1984",Illinois
372,Derrick Brown,2010,2012,F,6-7,225,"September 8, 1987",Xavier
373,Devin Brown,2003,2010,G,6-5,220,"December 30, 1978",Texas-San Antonio
374,Ernest Brown,2002,2002,C,7-0,244,"May 17, 1979",Indian Hills Community College
375,Fred Brown,1972,1984,G,6-3,182,"August 7, 1948",Iowa
376,George Brown,1958,1958,F,6-6,190,"October 30, 1935",Wayne State University
377,Gerald Brown,1999,1999,G,6-4,210,"July 28, 1975",Pepperdine
378,Greg Brown III,2022,2022,F,6-9,205,"September 1, 2001",Texas
379,Harold Brown,1947,1947,G,6-0,155,"October 2, 1923",University of Evansville
380,Jabari Brown,2015,2015,G,6-4,215,"December 18, 1992","Oregon, Missouri"
381,Jaylen Brown,2017,2022,F-G,6-6,223,"October 24, 1996",California
382,John Brown,1974,1980,F,6-7,220,"December 14, 1951",Missouri
383,Kedrick Brown,2002,2005,G,6-7,222,"March 18, 1981",Okaloosa-Walton Community College
384,Kwame Brown,2002,2013,F,6-11,270,"March 10, 1982",
385,Larry Brown*,1968,1972,G,5-9,160,"September 14, 1940",UNC
386,Leon Brown,1947,1947,F,6-3,190,"October 12, 1919",Wyoming
387,Lewis Brown,1981,1981,C,6-11,225,"February 19, 1955",UNLV
388,Lorenzo Brown,2014,2019,G,6-5,189,"August 26, 1990",NC State
389,Marcus Brown,1997,2000,G,6-3,185,"April 3, 1974",Murray State
390,Markel Brown,2015,2018,G,6-3,190,"January 29, 1992",Oklahoma State
391,Mike Brown,1987,1997,C-F,6-9,257,"July 19, 1963",George Washington
392,Moses Brown,2020,2022,C,7-2,245,"October 13, 1999",UCLA
393,Myron Brown,1992,1992,G,6-3,180,"November 3, 1969",Slippery Rock University of Pennsylvania
394,P.J. Brown,1994,2008,F-C,6-11,225,"October 14, 1969",Louisiana Tech
395,Randy Brown,1992,2003,G,6-2,190,"May 22, 1968","Houston, New Mexico State"
396,Raymond Brown,1990,1990,F,6-8,220,"July 5, 1965","Mississippi State, Idaho"
397,Rickey Brown,1981,1985,C-F,6-10,215,"August 20, 1958",Mississippi State
398,Roger Brown*,1968,1975,F-G,6-5,205,"May 22, 1942",Dayton
399,Roger Brown,1973,1980,C,6-11,225,"February 23, 1950",Kansas
400,Shannon Brown,2007,2015,G,6-4,205,"November 29, 1985",Michigan State
401,Stan Brown,1948,1952,F,6-3,200,"June 27, 1929",
402,Sterling Brown,2018,2022,G,6-5,219,"February 10, 1995",SMU
403,Tierre Brown,2002,2005,G,6-2,189,"June 3, 1979",McNeese State University
404,Tony Brown,1985,1992,F-G,6-6,185,"July 29, 1960",Arkansas
405,Troy Brown Jr.,2019,2022,G-F,6-6,215,"July 28, 1999",Oregon
406,Jim Browne,1949,1950,C,6-10,235,"January 1, 1930",
407,Stanley Brundy,1990,1990,F,6-6,210,"November 13, 1967",DePaul
408,Brian Brunkhorst,1969,1969,F,6-6,208,"June 12, 1945",Marquette
409,George Bruns,1973,1973,G,6-0,160,"August 30, 1946",Manhattan College
410,Jalen Brunson,2019,2022,G,6-1,190,"August 31, 1996",Villanova
411,Rick Brunson,1998,2006,G,6-4,190,"June 14, 1972",Temple
412,Nicolás Brussino,2017,2018,G-F,6-7,195,"March 2, 1993",
413,Elijah Bryant,2021,2021,G,6-5,210,"April 19, 1995","Elon University, BYU"
414,Em Bryant,1965,1972,G,6-1,175,"November 4, 1938",DePaul
415,Joe Bryant,1976,1983,F-C,6-9,185,"October 19, 1954",La Salle
416,Kobe Bryant*,1997,2016,G-F,6-6,212,"August 23, 1978",
417,Mark Bryant,1989,2003,F-C,6-9,245,"April 25, 1965",Seton Hall
418,Thomas Bryant,2018,2022,C,6-10,248,"July 31, 1997",Indiana
419,Wallace Bryant,1984,1986,C,7-0,245,"July 14, 1959",San Francisco
420,Torgeir Bryn,1990,1990,C,6-9,250,"August 8, 1964",Texas State University
421,George Bucci,1976,1976,G,6-3,200,"July 9, 1953",Manhattan College
422,Shaq Buchanan,2022,2022,G,6-3,190,"January 30, 1997","Northeast Mississippi Community College, Murray State"
423,Joe Buckhalter,1962,1963,F,6-7,210,"August 1, 1937",Tennessee State
424,Steve Bucknall,1990,1990,G,6-6,215,"March 17, 1966",UNC
425,Cleveland Buckner,1962,1963,F-C,6-9,210,"August 17, 1938",Jackson State University
426,Greg Buckner,2000,2009,G,6-4,210,"September 16, 1976",Clemson
427,Quinn Buckner,1977,1986,G,6-3,190,"August 20, 1954",Indiana
428,Dave Budd,1961,1965,F,6-6,205,"October 28, 1938",Wake Forest
429,Chase Budinger,2010,2016,F,6-7,209,"May 22, 1988",Arizona
430,Walt Budko,1949,1952,F-C,6-5,220,"July 30, 1925",Columbia University
431,Jud Buechler,1991,2002,F-G,6-6,220,"June 19, 1968",Arizona
432,Rodney Buford,2000,2005,G-F,6-5,189,"November 2, 1977",Creighton
433,Matt Bullard,1991,2002,F,6-10,215,"June 5, 1967","Colorado, Iowa"
434,Reggie Bullock,2014,2022,G-F,6-6,205,"March 16, 1991",UNC
435,Larry Bunce,1968,1969,C,7-0,240,"July 29, 1945",Utah State University
436,Greg Bunch,1979,1979,F,6-6,190,"May 15, 1956",Cal State Fullerton
437,Dick Bunt,1953,1953,G,6-0,170,"July 13, 1930",NYU
438,Bill Buntin,1966,1966,C-F,6-7,250,"May 5, 1942",Michigan
439,Bill Bunting,1970,1972,F-C,6-8,200,"August 26, 1947",UNC
440,Ticky Burden,1976,1978,G,6-2,185,"February 28, 1953",Utah
441,Pat Burke,2003,2007,C-F,6-11,250,"December 14, 1973",Auburn
442,Trey Burke,2014,2022,G,6-0,185,"November 12, 1992",Michigan
443,Roger Burkman,1982,1982,G,6-5,175,"May 22, 1958",Louisville
444,Alec Burks,2012,2022,G,6-6,214,"July 20, 1991",Colorado
445,Antonio Burks,2005,2006,G,6-1,200,"February 25, 1980",Memphis
446,Kevin Burleson,2006,2006,G,6-3,205,"September 4, 1979",Minnesota
447,Tom Burleson,1975,1981,C,7-2,225,"February 24, 1952",NC State
448,Jack Burmaster,1950,1950,G,6-3,190,"December 23, 1926",Illinois
449,David Burns,1982,1982,G,6-2,180,"July 3, 1958",Saint Louis
450,Evers Burns,1994,1994,F,6-8,260,"August 24, 1971",Maryland
451,Jim Burns,1968,1968,G,6-3,195,"September 21, 1945",Northwestern
452,Scott Burrell,1994,2001,G-F,6-7,218,"January 12, 1971",UConn
453,Art Burris,1951,1952,F,6-5,220,"April 7, 1924",Tennessee
454,Junior Burrough,1996,1996,F,6-8,242,"January 18, 1973",Virginia
455,Bob Burrow,1957,1958,C-F,6-7,228,"June 29, 1934",Kentucky
456,Deonte Burton,2019,2020,G,6-4,240,"January 31, 1994","Marquette, Iowa State"
457,Ed Burton,1962,1965,F,6-6,225,"August 13, 1939",Michigan State
458,Willie Burton,1991,1999,F-G,6-8,210,"May 26, 1968",Minnesota
459,Steve Burtt,1985,1993,G,6-2,185,"November 5, 1962",Iona College
460,Don Buse,1973,1985,G,6-4,190,"August 10, 1950",University of Evansville
461,David Bustion,1973,1973,F,6-8,215,"August 30, 1949",Denver
462,Donnie Butcher,1962,1966,G,6-2,200,"February 8, 1936",Pikeville College
463,Al Butler,1962,1965,G,6-2,175,"July 9, 1938",Niagara University
464,Caron Butler,2003,2016,F,6-7,228,"March 13, 1980",UConn
465,Greg Butler,1989,1991,C,6-11,240,"March 11, 1966",Stanford
466,Jackie Butler,2005,2007,F-C,6-10,250,"March 10, 1985",
467,Jared Butler,2022,2022,G,6-3,195,"August 25, 2000",Baylor
468,Jimmy Butler,2012,2022,F-G,6-7,230,"September 14, 1989",Marquette
469,Mike Butler,1969,1972,G,6-2,170,"October 22, 1946",Memphis
470,Mitchell Butler,1994,2004,G-F,6-5,210,"December 15, 1970",UCLA
471,Rasual Butler,2003,2016,F-G,6-7,215,"May 23, 1979",La Salle
472,Dwight Buycks,2014,2018,G,6-3,190,"March 6, 1989",Marquette
473,Derrick Byars,2012,2012,F,6-7,220,"April 25, 1984","Virginia, Vanderbilt"
474,Andrew Bynum,2006,2014,C,7-0,285,"October 27, 1987",
475,Will Bynum,2006,2015,G,6-0,185,"January 4, 1983","Arizona, Georgia Tech"
476,Walter Byrd,1970,1970,F,6-7,205,,Temple
477,Marty Byrnes,1979,1983,F,6-7,215,"April 30, 1956",Syracuse
478,Tommy Byrnes,1947,1951,F-G,6-3,175,"February 19, 1923",Seton Hall
479,Michael Bytzura,1947,1947,F,6-1,170,"June 18, 1922",Long Island University
0,Žarko Čabarkapa,2004,2006,F,6-11,235,"May 21, 1981",
1,Barney Cable,1959,1964,F,6-7,175,"July 29, 1935",Bradley
2,Bruno Caboclo,2015,2021,F-C,6-9,218,"September 21, 1995",
